episode,step,slot,cloudlet_id,action,is_defer,site,kappa,mi,pes,time_to_deadline,deadline_present,wait_age,is_deferred,defer_allowed,hold_dc,hold_allowed
1,9,0,0,25,1,2,64,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,29,0,1,15,1,1,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,41,0,2,7,1,0,64,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,48,0,3,16,1,1,64,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,62,0,4,15,1,1,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,92,0,5,6,1,0,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,100,0,6,6,1,0,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,123,0,7,5,1,0,16,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,134,0,8,4,1,0,8,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,150,0,9,5,1,0,16,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,159,0,10,4,1,0,8,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,174,0,11,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,201,0,12,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,221,0,13,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,227,0,14,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,241,0,15,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,256,0,16,6,1,0,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,273,0,17,7,1,0,64,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,295,0,18,6,1,0,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,307,0,19,7,1,0,64,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,323,0,20,7,1,0,64,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,335,0,21,6,1,0,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,356,0,22,6,1,0,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,373,0,23,5,1,0,16,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,397,0,24,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,402,0,25,5,1,0,16,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,421,0,26,4,1,0,8,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,445,0,27,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,457,0,28,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,473,0,29,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,486,0,30,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,504,0,31,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,520,0,32,0,0,0,0,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,527,0,33,25,1,2,64,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
1,549,0,34,24,1,2,32,1920000.0,32.0,0.03361111134290695,1.0,0.0,0.0,1.0,-1,
